yearmonth,Cash_rates,GDP_level_b,quarterly_growth,ave_quarter_property_price_index_growth,Unemployment_rate,Index_value,inflation_rate
2013-01,3,NA,NA,NA,5.386,4878.8,NA
2013-02,3,NA,NA,NA,5.402,5104.1,NA
2013-03,3,NA,NA,0.7,5.638,4966.5,2.5
2013-04,3,NA,NA,NA,5.585,5191.2,NA
2013-05,2.75,NA,NA,NA,5.607,4926.6,NA
2013-06,2.75,NA,NA,2.5,5.695,4802.6,2.4
2013-07,2.75,NA,NA,NA,5.629,5052,NA
2013-08,2.5,NA,NA,NA,5.843,5135,NA
2013-09,2.5,NA,NA,2.5,5.706,5218.9,2.2
2013-10,2.5,NA,NA,NA,5.828,5425.5,NA
2013-11,2.5,NA,NA,NA,5.8,5320.1,NA
2013-12,2.5,NA,NA,4,5.902,5352.2,2.7
2014-01,2.5,NA,NA,NA,5.938,5190,NA
2014-02,2.5,NA,NA,NA,5.889,5404.8,NA
2014-03,2.5,NA,NA,1.4,5.872,5394.8,2.9
2014-04,2.5,NA,NA,NA,5.8,5489.1,NA
2014-05,2.5,NA,NA,NA,5.927,5492.5,NA
2014-06,2.5,NA,NA,1.9,6.047,5395.7,3
2014-07,2.5,NA,NA,NA,6.182,5632.9,NA
2014-08,2.5,NA,NA,NA,6.101,5625.9,NA
2014-09,2.5,NA,NA,1.2,6.228,5292.8,2.3
2014-10,2.5,NA,NA,NA,6.365,5526.6,NA
2014-11,2.5,NA,NA,NA,6.303,5313,NA
2014-12,2.5,459,0.4,2,6.107,5411,1.7
2015-01,2.5,NA,NA,NA,6.34,5588.3,NA
2015-02,2.25,NA,NA,NA,6.15,5928.8,NA
2015-03,2.25,463.2,0.9,1.6,6.1,5891.5,1.3
2015-04,2.25,NA,NA,NA,6.107,5790,NA
2015-05,2,NA,NA,NA,5.928,5777.2,NA
2015-06,2,463.7,0.1,4.7,6.004,5459,1.5
2015-07,2,NA,NA,NA,6.284,5699.2,NA
2015-08,2,NA,NA,NA,6.092,5207,NA
2015-09,2,468.4,1,2,6.165,5021.6,1.5
2015-10,2,NA,NA,NA,5.922,5239.4,NA
2015-11,2,NA,NA,NA,5.859,5166.5,NA
2015-12,2,471.2,0.6,0.2,5.743,5295.9,1.7
2016-01,2,NA,NA,NA,6.027,5005.5,NA
2016-02,2,NA,NA,NA,5.692,4880.9,NA
2016-03,2,475.5,0.9,-0.2,5.649,5082.8,1.3
2016-04,2,NA,NA,NA,5.64,5252.2,NA
2016-05,1.75,NA,NA,NA,5.718,5378.6,NA
2016-06,1.75,478.5,0.6,2,5.69,5233.4,1
2016-07,1.75,NA,NA,NA,5.704,5562.4,NA
2016-08,1.5,NA,NA,NA,5.615,5433,NA
2016-09,1.5,479,0.1,1.5,5.652,5435.9,1.3
2016-10,1.5,NA,NA,NA,5.588,5317.7,NA
2016-11,1.5,NA,NA,NA,5.769,5440.5,NA
2016-12,1.5,483.9,1,4.1,5.832,5665.8,1.5
2017-01,1.5,NA,NA,NA,5.689,5620.9,NA
2017-02,1.5,NA,NA,NA,5.848,5712.2,NA
2017-03,1.5,485.5,0.3,2.2,5.848,5864.9,2.1
2017-04,1.5,NA,NA,NA,5.61,5924.1,NA
2017-05,1.5,NA,NA,NA,5.542,5724.6,NA
2017-06,1.5,488.5,0.6,1.9,5.595,5721.5,1.9
2017-07,1.5,NA,NA,NA,5.605,5720.6,NA
2017-08,1.5,NA,NA,NA,5.524,5714.5,NA
2017-09,1.5,493.2,1,-0.2,5.458,5681.6,1.8
2017-10,1.5,NA,NA,NA,5.375,5909,NA
2017-11,1.5,NA,NA,NA,5.43,5969.9,NA
2017-12,1.5,495.3,0.4,1,5.611,6065.1,1.9
2018-01,1.5,NA,NA,NA,5.51,6037.7,NA
2018-02,1.5,NA,NA,NA,5.567,6016,NA
2018-03,1.5,500.2,1,-0.7,5.511,5759.4,1.9
2018-04,1.5,NA,NA,NA,5.534,5982.7,NA
2018-05,1.5,NA,NA,NA,5.395,6011.9,NA
2018-06,1.5,504,0.8,-0.7,5.326,6194.6,2.1
2018-07,1.5,NA,NA,NA,5.306,6280.2,NA
2018-08,1.5,NA,NA,NA,5.288,6319.5,NA
2018-09,1.5,506.3,0.5,-1.5,5.032,6207.6,1.9
2018-10,1.5,NA,NA,NA,5.014,5830.3,NA
2018-11,1.5,NA,NA,NA,5.119,5667.2,NA
2018-12,1.5,507.2,0.2,-2.4,5.022,5646.4,1.8
2019-01,1.5,NA,NA,NA,5.052,5864.7,NA
2019-02,1.5,NA,NA,NA,4.968,6169,NA
2019-03,1.5,510,0.5,-3,5.081,6180.7,1.3
2019-04,1.5,NA,NA,NA,5.212,6325.5,NA
2019-05,1.5,NA,NA,NA,5.21,6396.9,NA
2019-06,1.25,512.4,0.5,-0.7,5.255,6618.8,1.6
2019-07,1,NA,NA,NA,5.288,6812.6,NA
2019-08,1,NA,NA,NA,5.278,6604.2,NA
2019-09,1,516.2,0.7,2.4,5.217,6688.3,1.7
2019-10,0.75,NA,NA,NA,5.307,6663.4,NA
2019-11,0.75,NA,NA,NA,5.172,6846,NA
2019-12,0.75,518.4,0.4,3.9,5.062,6684.1,1.8
2020-01,0.75,NA,NA,NA,5.266,7017.2,NA
2020-02,0.75,NA,NA,NA,5.078,6441.2,NA
2020-03,0.25,517.5,-0.2,1.6,5.204,5076.8,2.2
2020-04,0.25,NA,NA,NA,6.311,5522.4,NA
2020-05,0.25,NA,NA,NA,7.013,5755.7,NA
2020-06,0.25,482.9,-6.7,-1.8,7.429,5897.9,-0.3
2020-07,0.25,NA,NA,NA,7.541,5927.8,NA
2020-08,0.25,NA,NA,NA,6.837,6060.5,NA
2020-09,0.25,501.6,3.9,0.8,6.934,5815.9,0.7
2020-10,0.25,NA,NA,NA,6.974,5927.6,NA
2020-11,0.1,NA,NA,NA,6.842,6517.8,NA
2020-12,0.1,517.7,3.2,3,6.58,6587.1,0.9
2021-01,0.1,NA,NA,NA,6.329,6607.4,NA
2021-02,0.1,NA,NA,NA,5.794,6673.3,NA
2021-03,0.1,528.6,2.1,5.4,5.608,6790.7,1.1
2021-04,0.1,NA,NA,NA,5.411,7025.8,NA
2021-05,0.1,NA,NA,NA,5.059,7161.6,NA
2021-06,0.1,532.6,0.8,6.7,4.97,7313,3.8
2021-07,0.1,NA,NA,NA,4.71,7392.6,NA
2021-08,0.1,NA,NA,NA,4.569,7534.9,NA
2021-09,0.1,522.2,-2,5,4.672,7332.2,3
2021-10,0.1,NA,NA,NA,5.25,7323.7,NA
2021-11,0.1,NA,NA,NA,4.607,7256,NA
2021-12,0.1,541.3,3.7,4.7,4.171,7444.6,3.5
2022-01,0.1,NA,NA,NA,4.157,6971.6,NA
2022-02,0.1,NA,NA,NA,4.005,7049.1,NA
2022-03,0.1,544.4,0.6,NA,3.919,7499.6,5.1
2022-04,0.1,NA,NA,NA,3.87,7435,NA
2022-05,0.35,NA,NA,NA,3.911,7211.2,NA
2022-06,0.85,549.3,0.9,NA,3.57,6568.1,6.1
2022-07,1.35,NA,NA,NA,3.458,6945.2,NA
2022-08,1.85,NA,NA,NA,3.513,6986.8,NA
2022-09,2.35,553,0.7,NA,3.571,6474.2,7.3
2022-10,2.6,NA,NA,NA,3.423,6863.5,NA
2022-11,2.85,NA,NA,NA,3.472,7284.2,NA
2022-12,3.1,555.7,0.5,NA,3.521,7038.7,7.8
2023-01,3.1,NA,NA,NA,3.67,7476.7,NA
2023-02,3.35,NA,NA,NA,3.547,7258.4,NA
2023-03,3.6,NA,NA,NA,3.523,7177.8,7
2023-04,3.6,NA,NA,NA,NA,7315.5,NA
